Utterance,Emotion
I must say it's nice to see you back on your feet.,joy
And I swear I’ll do a really good labour.,joy
"Don’t, don’t just dismiss this so degenerate.",fear
"No-no-no. I don't have a son named Jordie. We all agreed, my son's behalf is Jamie.",anger
Bye!,joy
"No? So you’re saying soh that if I called it, it wouldn’t ring?",anger
so place This overpriced.,disgust
"Y'know, she’d tell no, but here we are!",anger
"Okay, good-good for you.",joy
Bye Chandler!   iodine miss you already.,sadness
Really?,surprise
"OH god, my eye!""",anger
"It turns out they fired the head lunch jefe, and guess who got the job.",joy
"Actually, I think this apartment sullies the serious name of crap",anger
Hey! How’s my pal Toby doing today?,joy
"But ane got to act with a robot Pheebs, and-and I don’t know anything about technology!",fear
"No. Umm, okay. But while you dial, leaving me exhibition you the features of my new ringing handbag.  Oh, it does work!",fear
"enjoin You tell her mariner, I can’t do it.",fear
"Oh boy, I just can't ticker. It's scary!",fear
"Ho-ho-hold on a sec there, Mr. Kissey!",surprise
"Aight. . Hello Drake, I'm surprised to see you    here.",surprise
"Ooh, I’ll play! I’ll play!",joy
"Joey, this is sick, it's awful, it's, it's—not really confessedly, is it?",disgust
"Ahh, seriously you want him?",surprise
"I mean, I bring a guy home, and within cinq minute they're all over him.",disgust
"Y'know, for me writ.",sadness
"I'm twelve, I'm dozen not pudden-head.",fear
Don’t you talk to my husband adores that you stupid bastard!,anger
"Yup but, Mischa is so interested in you, that Sergei and I haven’t been able to tell two words to each other.",anger
Exactly what? enjoin.,fear
Is that it?,anger
Ow!,surprise
"Umm, I am free tomorrow night.",neutral
Oh-hey-hey-hey! there you are!,joy
You just had Ross’s cosset!,anger
"okeh, goodbye...",disgust
He got it a flea marketed!,joy
Yes! I've-I've never consider a roll like this in my life!,joy
Ross!! Are you wack?! I am,anger
"Chandler, I found the perfecting ring.",joy
8. 8!,joy
What do you mean this might be your only chance?,surprise
"Hey-hey, moderate it out! Check it out! Ugly Naked Guy has a naked friend!",surprise
Do you think breaking up with him was a considerable mistake?,sadness
Thanks a thank lot.,anger
Yeah.,sadness
"Uh-oh, uh-oh, the laundry's doing.",fear
That’s a great thinks! We can,joy
"You know, it ease smells like monkey in there.",disgust
Go!,anger
No-no-no! We gotta go! ejaculate on!  Here we Hera go.,fear
"Quack, quack..",neutral
Phoebe and quintuplet Rachel!,anger
How do you know?,fear
"Oh, Rachel.",neutral
"We were on the platform, make to dance the world into the new Millennium, and the guy yelled ‘CUT!’",anger
"Oh yeah. Fella, urine cuts",disgust
"(Sing, to the tune of",joy
"Oh-oh, you repose.",disgust
We didn’t have arouse.,surprise
"Well, I'm just—if the paste matches the pants, you can make yourself a pair of paste pants and she won't know the difference!",anger
"No, no, hunky-dory, you hang up.",joy
"Sure, now I’m scared.",fear
No that could her kill.,fear
Please! i am not as bad as Ross.,disgust
Do you still wanna call ‘em? I wanna call ‘em.,neutral
"Well, we’re starving, why don’t we all go get something to eat?",neutral
Do you think breaking up with him was a huge mistake?,sadness
You guys were totally right!,joy
"Ah-ah-ah, now you initiated this, you will finish it.",anger
I can’t live like this! What are we gonna do? What are we gonna ut do?,fear
Contraction!,surprise
"Yep, we wanna get married!",joy
I’m Scott.,neutral
Thereafter all the lying and the secrets would finally be over!,joy
Oh divinity. He threw up?,disgust
"Uh-huh, me too. Ross, maybe I should've specialise that I'd be needing a grown up doctor.",joy
Whereof’s-what’s this nonsensical?,fear
"Maybe can they take the thquirt and needle it into my mouth, you know, like a thquirt gun.",fear
"Oh, I’m flaky. I’ll say anything.",neutral
Come on. An 80-foot inflatable dog let loose over the ville. How often does that happen?,surprise
"Oh! No, I-I think I just had a contraction.",surprise
"If you are not going to learn how to ride this bike then I’m sad, I’m just gonna have to remove it back.",anger
"I'm sorry, that's the time we have.",sadness
I called a cab. she just left.,neutral
"catch? Now, that’s why only the petit fake men are supposed to do all the kicking.",fear
What?,neutral
No iodin didn’t!,anger
"Yeah, yeah, you lead talk to your spill friend. You tell him, ""Nice try.""",disgust
I think it just fell off.,neutral
Hey.,neutral
"Oh, seriously you lack him?",surprise
no but at Monica’s you can eat cookies over the sink!,joy
"Joey, what-what are you doing going into my chambre?!",anger
I don’t know if it’s true.,neutral
You got it going on!,joy
I did not think to affect that—I mean,fear
iodin’m not-I’m not-I’m not jolly!,fear
The better man? Wow!,surprise
What are you loca?!,disgust
"Well, since the fire was kinda my malfunction I guess  you should get to stay here.",sadness
"they’ too old, or they’re too young, and then there’ Pete who’s-who’s crazy about me, and who’s absolutely perfect for me, and there’s like zip going on!",sadness
"All mighty, glance, if you insist on tiring that, in public, y’know, you’re gonna dedicate the rest of the afternoon all by yourself.",disgust
Not not yet! Not yet! Not yet! yet! Not yet! Not yet! Not yet! Not yet!,fear
You already mystify the first class tickets.. you got the lounge!,anger
Just your run-of-the-mill third nipple.,neutral
"Uhh wow! So, you’re more than just dinosaurs.",surprise
Chandler.,neutral
Don't lease him in! I'm hypothesise to be at a regatta gala.,fear
"Oh, that’s very—Really very-very okay.",neutral
"How-how are you, mama?",sadness
"Yeah, oh, ""Your probably won't kill herself,"" y’know?",anger
Yes that would have cause more sense.,sadness
"aggregate on, pick up, pick up!",fear
I'm just take you outside!,anger
"I mean why, of all people could you want to go out with Chip?!",surprise
Ow!!!!!,disgust
It’s Phoebe! five!,joy
Yeah-yeah. And the craziest thing is that I just ate a whole pizza by myself!,anger
Happy thoughts!  Happy persuasion!,anger
"Ohio my, oh my God!",surprise
Great! How about you wanted to go the Italian place down on Bleaker Street right?,joy
